brand,file_urls,model,product,product_lang,source,type,url
berkelequipment,https://www.berkelequipment.com/sites/default/files/webdam_asset/86183124.pdf,MB3-4STD,"3/4"" MB Series 1/3 HP Countertop Bread Slicer",,berkelequipment.com,Spec Sheet,https://www.berkelequipment.com/slicers/34-mb-series-13-hp-countertop-bread-slicer
berkelequipment,,330M,"13"" CS Knife Automatic Feed Classic Flywheel Prosciutto Slicer",,berkelequipment.com,,https://www.berkelequipment.com/slicers/13-cs-knife-automatic-feed-classic-flywheel-prosciutto-slicer
gaylordventilation,/gaylord-flipbooks/blue-book/index.html,,Gaylord Custom Designs,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/gaylord-custom-designs
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/RSPC%20TPF%20with%20FM-100%20Technical%20Manual.pdf,RSPC-TPF,TPF Pollution Control Unit,,gaylordventilation.com,Manual,https://www.gaylordventilation.com/resource-center?query=&file-type=258&product-type=all&sort=recent
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/Gaylord_XGS_High_Efficiency_Extractor_XGS-1112-21831_1.pdf,,Show Smoke and Odor Who's Boss,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/show-smoke-and-odor-whos-boss
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/ELXC-SPC-SO.pdf,,Show Smoke and Odor Who's Boss,,gaylordventilation.com,Spec Sheet,https://www.gaylordventilation.com/products/ventilation/show-smoke-and-odor-whos-boss
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/ELXC-SPC-SO-CL.pdf,,Show Smoke and Odor Who's Boss,,gaylordventilation.com,Spec Sheet,https://www.gaylordventilation.com/products/ventilation/show-smoke-and-odor-whos-boss
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/ELXC-SPC-SO-BB.pdf,,Show Smoke and Odor Who's Boss,,gaylordventilation.com,Spec Sheet,https://www.gaylordventilation.com/products/ventilation/show-smoke-and-odor-whos-boss
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/EL%20Series%20General%20Brochure_0.pdf,,ELX Series Ventilator,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/elx-series-ventilator
berkelequipment,https://www.berkelequipment.com/sites/default/files/webdam_asset/86183140.pdf,300M,"12"" CS Knife Automatic Feed Classic Flywheel Prosciutto Slicer",,berkelequipment.com,Spec Sheet,https://www.berkelequipment.com/slicers/12-cs-knife-automatic-feed-classic-flywheel-prosciutto-slicer
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/XGS%20Extractor%20Spec%20Sheet_8.pdf,,Show Smoke and Odor Who's Boss,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/show-smoke-and-odor-whos-boss
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/PBW_2.pdf,,Show Smoke and Odor Who's Boss,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/show-smoke-and-odor-whos-boss
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/XGS%20Extractor_2.pdf,,ELX Series Ventilator,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/elx-series-ventilator
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/ELX_0.pdf,,ELX Series Ventilator,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/elx-series-ventilator
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/ELX-BBC-CL_0.pdf,,ELX Series Ventilator,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/elx-series-ventilator
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/ELX-BB_0.pdf,,ELX Series Ventilator,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/elx-series-ventilator
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/GPC-7000-SPC-SO_0.pdf,,Show Smoke and Odor Who's Boss,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/show-smoke-and-odor-whos-boss
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/GPC-7000-SPC-SO-R.pdf,,Show Smoke and Odor Who's Boss,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/show-smoke-and-odor-whos-boss
gaylordventilation,/gaylord-flipbooks/blue-book/index.html,,Show Smoke and Odor Who's Boss,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/show-smoke-and-odor-whos-boss
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/XGS%20Extractor%20Spec%20Sheet_6.pdf,,ELX Series Ventilator,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/elx-series-ventilator
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/PBW_0.pdf,,ELX Series Ventilator,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/elx-series-ventilator
gaylordventilation,/gaylord-flipbooks/blue-book/index.html,,ELX Series Ventilator,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/elx-series-ventilator
gaylordventilation,https://www.gaylordventilation.com/resource-center,,ELX Series Ventilator,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/elx-series-ventilator
gaylordventilation,https://www.gaylordventilation.com/resource-center,,Show Smoke and Odor Who's Boss,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/show-smoke-and-odor-whos-boss
gaylordventilation,https://www.youtube.com/watch?v=YXqI03vyRpo&t=12s,,ELX Series Ventilator,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/elx-series-ventilator
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/EL%20Series%20General%20Brochure_5.pdf,,ELXC Clean-In-Place Ventilators,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/elxc-clean-place-ventilators
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/Gaylord_XGS_High_Efficiency_Extractor_XGS-1112-21831_0.pdf,,ELXC Clean-In-Place Ventilators,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/elxc-clean-place-ventilators
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/ELXC.pdf,,ELXC Clean-In-Place Ventilators,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/elxc-clean-place-ventilators
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/GS-710E%20Brochure.pdf,,Specifically Designed Solutions,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/additional-products/specifically-designed-solutions-1
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/G-510EF.pdf,,Specifically Designed Solutions,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/additional-products/specifically-designed-solutions
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/ELXC-BBC-CL_0.pdf,,ELXC Clean-In-Place Ventilators,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/elxc-clean-place-ventilators
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/ELXC-BB_0.pdf,,ELXC Clean-In-Place Ventilators,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/elxc-clean-place-ventilators
gaylordventilation,https://www.gaylordventilation.com/sites/default/files/XGS%20Extractor%20Spec%20Sheet_7.pdf,,ELXC Clean-In-Place Ventilators,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/ventilation/elxc-clean-place-ventilators
gaylordventilation,https://2010products.com/wp-content/uploads/2016/01/GS710-Odor-Eliminator.pdf,,Specifically Designed Solutions,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/additional-products/specifically-designed-solutions-1
gaylordventilation,/gaylord-flipbooks/blue-book/index.html,,Specifically Designed Solutions,,gaylordventilation.com,Brochures,https://www.gaylordventilation.com/products/additional-products/specifically-designed-solutions-1
